Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффиляций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.1088/1612-202X/ad053e,4,Tsipenyuk, D.Y.,3,"Moscow Polytechnic University, All-Russian Institute of Scientific and Technical Information, Moscow Institute of Physics and Technology",0.08,2023,Extra long phosphorescence in organic materials at cryogenic temperatures investigation,Laser Physics Letters,"Tsipenyuk, D.Y., Slobodyanin, V.P., Voropinov, A.V., Chikin, F.K. Extra long phosphorescence in organic materials at cryogenic temperatures investigation (2023) Laser Physics Letters, 20 (12), Статья № 126002",Статья
10.1016/j.ceramint.2023.09.115,7,Yudin, S.,2,"National University of Science and Technology MISIS, Moscow Polytechnic University",0.07,2023,Annealing of a (Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2)C high-entropy ceramic up to 2100 °C: In-situ removal of oxide impurities and microstructural modification,Ceramics International,"Guo, H., Moskovskikh, D., Yudin, S., Cheng, Z., Zou, W., Volodko, S., Zhang, C. Annealing of a (Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2)C high-entropy ceramic up to 2100 °C: In-situ removal of oxide impurities and microstructural modification (2023) Ceramics International, 49 (23), pp. 37872-37880",Статья
10.1186/s40468-023-00247-z,4,Saenko, N.,1,Department of Humanitarian Disciplines,0.25,2023,"Learner-oriented assessment matters: testing the effects of academic buoyancy, reflective thinking, and learner enjoyment in self-assessment and test-taking anxiety management of the EFL learners",Language Testing in Asia,"Nurjamin, A., Salazar-Espinoza, D.-E., Saenko, N., Bina, E. Learner-oriented assessment matters: testing the effects of academic buoyancy, reflective thinking, and learner enjoyment in self-assessment and test-taking anxiety management of the EFL learners (2023) Language Testing in Asia, 13 (1), Статья № 30",Статья
10.1016/j.apsusc.2023.158077,10,Kazak, A.V.,2,"Nanomaterials Research Institute, Moscow Polytechnic University",0.05,2023,"Langmuir-Schaefer films based on cyclotriphosphazene-substituted phthalocyanines: Supramolecular organization, UV/Vis study, and laser-induced nonlinear absorption",Applied Surface Science,"Kazak, A.V., Nikitin, K.S., Marchenkova, M.A., Savelyev, M.S., Vasilevsky, P.N., Yu. Gerasimenko, A., Chausov, D.N., Kholodkov, I.V., Usol'tseva, N.V., Yu. Tolbin, A. Langmuir-Schaefer films based on cyclotriphosphazene-substituted phthalocyanines: Supramolecular organization, UV/Vis study, and laser-induced nonlinear absorption (2023) Applied Surface Science, 638, Статья № 158077",Статья
10.30686/1609-9192-2023-5-96-101,3,Golik, V.I.,2,"Department of Mining, Department of Metallurgy of Moscow Polytechnic University",0.17,2023,On utilization of concentration tailings of non-ferrous metal ores,Gornaya Promyshlennost,"Golik, V.I., Titova, A.V., Titova, G.I. On utilization of concentration tailings of non-ferrous metal ores (2023) Gornaya Promyshlennost, 2023 (5), pp. 96-101",Статья
10.1002/app.54532,5,"Kondratov, Nikolaev, Nazarov, Vereshchagin"," A.P.,  A.A.,  V.G.,  V.Y.",1,"Department of Incognitive Technologies, Department of Incognitive Technologies, Department of Incognitive Technologies, Department of Incognitive Technologies",0.8,2023,Design and multilevel structuring of shape memory polymers for pleochroism control,Journal of Applied Polymer Science,"Kondratov, A.P., Nikolaev, A.A., Nazarov, V.G., Vereshchagin, V.Y., Volinsky, A.A. Design and multilevel structuring of shape memory polymers for pleochroism control (2023) Journal of Applied Polymer Science, 140 (41), Статья № e54532",Статья
10.3103/S1068335623110118,7,Daibagya, D.S.,3,"Lebedev Physical Institute, Moscow Polytechnic University, Bauman Moscow State Technical University",0.05,2023,Luminescence and Colorimetric Properties of Ultrathin Cadmium Selenide Nanoscrolls,Bulletin of the Lebedev Physics Institute,"Daibagya, D.S., Zakharchuk, I.A., Osadchenko, A.V., Selyukov, A.S., Ambrozevich, S.A., Skorikov, M.L., Vasiliev, R.B. Luminescence and Colorimetric Properties of Ultrathin Cadmium Selenide Nanoscrolls (2023) Bulletin of the Lebedev Physics Institute, 50 (11), pp. 510-514",Статья
10.3390/wevj14110316,6,"Klimov, Ospanbekov, Keller, Shadrin, Makarova, Furletov"," A.V.,  B.K.,  A.V.,  S.S.,  D.A.,  Y.M.",3,"Advanced Engineering School of Electric Transport, LLC KAMAZ Innovation Center, Advanced Engineering School of Electric Transport, LLC KAMAZ Innovation Center, Advanced Engineering School of Electric Transport, Sociocenter, Advanced Engineering School of Electric Transport, Sociocenter, Advanced Engineering School of Electric Transport, Sociocenter, Advanced Engineering School of Electric Transport",0.58,2023,Research into the Peculiarities of the Individual Traction Drive Nonlinear System Oscillatory Processes,World Electric Vehicle Journal,"Klimov, A.V., Ospanbekov, B.K., Keller, A.V., Shadrin, S.S., Makarova, D.A., Furletov, Y.M. Research into the Peculiarities of the Individual Traction Drive Nonlinear System Oscillatory Processes (2023) World Electric Vehicle Journal, 14 (11), Статья № 316",Статья
10.3390/mi14112004,6,Kudryashov, A.,2,"Sadovsky Institute of Geosphere Dynamics, Department of Physics",0.08,2023,Investigation of PZT Materials for Reliable Piezostack Deformable Mirror with Modular Design,Micromachines,"Toporovsky, V., Samarkin, V., Kudryashov, A., Galaktionov, I., Panich, A., Malykhin, A. Investigation of PZT Materials for Reliable Piezostack Deformable Mirror with Modular Design (2023) Micromachines, 14 (11), Статья № 2004",Статья
10.3390/ma16217004,8,"Golik, Klyuev"," V.I.,  R.V.",1,"Department “Technique and Technology of Mining and Oil and Gas Production”, Department “Technique and Technology of Mining and Oil and Gas Production”",0.25,2023,Reuse and Mechanochemical Processing of Ore Dressing Tailings Used for Extracting Pb and Zn,Materials,"Golik, V.I., Klyuev, R.V., Martyushev, N.V., Kondratiev, V.V., Tynchenko, V.S., Gladkikh, V.A., Iushkova, L.V., Brigida, V. Reuse and Mechanochemical Processing of Ore Dressing Tailings Used for Extracting Pb and Zn (2023) Materials, 16 (21), Статья № 7004",Статья
10.17507/jltr.1406.06,9,Livson, M.,1,Moscow Polytechnic University,0.11,2023,Optimization of Independent Work in Foreign Language Learning: Experience With Using Moodle,Journal of Language Teaching and Research,"Shapauov, A., Kabyken, M., Kozachek, A., Tikhonova, I., Kolganov, S., Kortunov, V., Bogatyreva, S., Livson, M., Khodjaliev, S. Optimization of Independent Work in Foreign Language Learning: Experience With Using Moodle (2023) Journal of Language Teaching and Research, 14 (6), pp. 1484-1491",Статья
10.1016/j.future.2023.06.001,6,Shvetsov, A.V.,2,"Department of Smart Technologies, North-Eastern Federal University",0.08,2023,Survey on Federated Learning enabling indoor navigation for industry 4.0 in B5G,Future Generation Computer Systems,"Alsamhi, S.H., Shvetsov, A.V., Hawbani, A., Shvetsova, S.V., Kumar, S., Zhao, L. Survey on Federated Learning enabling indoor navigation for industry 4.0 in B5G (2023) Future Generation Computer Systems, 148, pp. 250-265",Статья
10.1016/j.matlet.2023.134797,6,Zadorozhnyy, M.Y.,2,"NUST MISIS, Moscow Polytechnic University",0.08,2023,Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation,Materials Letters,"Rogachev, S.O., Zavodov, A.V., Naumova, E.A., Chernenok, T.V., Lukina, E.A., Zadorozhnyy, M.Y. Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation (2023) Materials Letters, 349, Статья № 134797",Статья
10.3390/s23208461,4,Gasiyarov, V.R.,1,Department of Automation and Control,0.25,2023,Overview of Promising Solutions in Subsurface Sounding Equipment,"Sensors (Basel, Switzerland)","Bryakin, I.V., Bochkarev, I.V., Khramshin, V.R., Gasiyarov, V.R. Overview of Promising Solutions in Subsurface Sounding Equipment (2023) Sensors (Basel, Switzerland), 23 (20)",Обзор
10.1016/j.jma.2023.09.012,9,Golovin, I.S.,2,"Department of Physical Metallurgy of Non-Ferrous Metals, Moscow Polytechnic University",0.06,2023,Structure-function integrated magnesium alloys and their composites,Journal of Magnesium and Alloys,"Hou, J., Li, D., Liu, Z., Ji, Z., Guan, S., Li, C., Qiao, X., Golovin, I.S., Zheng, M. Structure-function integrated magnesium alloys and their composites (2023) Journal of Magnesium and Alloys, 11 (10), pp. 3511-3544",Обзор
10.3103/S1068798X23100283,2,"Shishkov, Chulikova"," N.G.,  Z.E.",2,"Ryazan Branch, Kolomna Institute",1.0,2023,Influence of Milling Trajectory on Tool Wear,Russian Engineering Research,"Shishkov, N.G., Chulikova, Z.E. Influence of Milling Trajectory on Tool Wear (2023) Russian Engineering Research, 43 (10), pp. 1240-1241",Статья
10.3390/resources12100113,10,"Golik, Aleksakhina, Alenina"," V.I.,  Y.V.,  E.E.",3,"Metallurgy Department, Mining Department, Management Department, Management Department",0.25,2023,Comprehensive Recovery of Metals in Tailings Utilization with Mechanochemical Activation,Resources,"Golik, V.I., Mitsik, M.F., Aleksakhina, Y.V., Alenina, E.E., Ruban-Lazareva, N.V., Kruzhkova, G.V., Kondratyeva, O.A., Trushina, E.V., Skryabin, O.O., Khayrutdinov, M.M. Comprehensive Recovery of Metals in Tailings Utilization with Mechanochemical Activation (2023) Resources, 12 (10), Статья № 113",Статья
10.3390/en16207144,5,"Keller, Shadrin, Makarova, Furletov"," A.V.,  S.S.,  D.A.,  Y.M.",2,"Sociocenter, Moscow Polytechnic University, Sociocenter, Moscow Polytechnic University, Sociocenter, Moscow Polytechnic University, Moscow Polytechnic University",0.5,2023,Development of an Electric All-Wheel-Drive Simulation Model Used to Test Torque Distribution Algorithms,Energies,"Zavatsky, A.M., Keller, A.V., Shadrin, S.S., Makarova, D.A., Furletov, Y.M. Development of an Electric All-Wheel-Drive Simulation Model Used to Test Torque Distribution Algorithms (2023) Energies, 16 (20), Статья № 7144",Статья
10.3390/jmmp7050183,7,"Gasiyarov, Radionov"," V.R.,  A.A.",1,"Department of Automation and Control, Department of Automation and Control",0.29,2023,Method for Defining Parameters of Electromechanical System Model as Part of Digital Twin of Rolling Mill,Journal of Manufacturing and Materials Processing,"Gasiyarov, V.R., Radionov, A.A., Loginov, B.M., Zinchenko, M.A., Gasiyarova, O.A., Karandaev, A.S., Khramshin, V.R. Method for Defining Parameters of Electromechanical System Model as Part of Digital Twin of Rolling Mill (2023) Journal of Manufacturing and Materials Processing, 7 (5), Статья № 183",Статья
10.3390/met13101707,8,Zadorozhnyy, M.Y.,2,"Center for Project Activities, Research Centre of Composite Materials",0.06,2023,Influence of Overheating on High-Cycle Fatigue Characteristics of the Base Metal and Weld Metal of Low-Carbon Steel Welded Joints,Metals,"Nikulin, S.A., Rogachev, S.O., Prosvirnin, D.V., Pivovarchik, S.V., Belov, V.A., Shplis, N.V., Zadorozhnyy, M.Y., Khatkevich, V.M. Influence of Overheating on High-Cycle Fatigue Characteristics of the Base Metal and Weld Metal of Low-Carbon Steel Welded Joints (2023) Metals, 13 (10), Статья № 1707",Статья
