Идентификатор DOI *;Количество авторов *;Фамилия *;Имя *;Количество аффилиаций *;Аффиляция *;Контрибьюция *;Дата публикации *;Наименование публикации *;Наименование издания *;Библиографическая ссылка *;Вид издания  *
10.3390/wevj14110316;6;Klimov, Ospanbekov, Keller, Shadrin, Makarova, Furletov;Alexander V., Baurzhan K., Andrey V., Sergey S., Daria A., Yury M.;3;Moscow Polytech Univ, Skolkovo Innovat Ctr, Socioctr;0.58;NOV 2023;Research into the Peculiarities of the Individual Traction Drive Nonlinear System Oscillatory Processes;WORLD ELECTRIC VEHICLE JOURNAL;"Klimov, Alexander V.; Ospanbekov, Baurzhan K.; Keller, Andrey V.; Shadrin, Sergey S.; Makarova, Daria A.; Furletov, Yury M. Research into the Peculiarities of the Individual Traction Drive Nonlinear System Oscillatory Processes 2023 WORLD ELECTRIC VEHICLE JOURNAL, 14 (11), Статья № 316";Статья
;6;Filonova;Anna;1;Moscow Polytech Univ;0.17;JAN-MAR 2023;IMPACT OF GREEN FINTECH SOLUTIONS ON ACHIEVING ESG PRINCIPLES;REVISTA GESTAO & TECNOLOGIA-JOURNAL OF MANAGEMENT AND TECHNOLOGY;"Sergeeva, Svetlana; Gladilina, Irina; Bulochnikova, Natalia; Shichkin, Igor; Kochetkov, Evgeniy; Filonova, Anna IMPACT OF GREEN FINTECH SOLUTIONS ON ACHIEVING ESG PRINCIPLES 2023 REVISTA GESTAO & TECNOLOGIA-JOURNAL OF MANAGEMENT AND TECHNOLOGY, 23 (1), pp. 335-345";Статья
10.1134/S0036029523060332;5;Ovchinnikov, Yakutina, Uchevatkina, Luk'yanenko, Sbitnev;V. V., S. V., N. V., E. V., A. G.;1;Moscow Polytech Univ;1.0;JUN 2023;Structure and Properties of a Grade 1420 Aluminum Alloy after Argon Ion Irradiation;RUSSIAN METALLURGY;"Ovchinnikov, V. V.; Yakutina, S. V.; Uchevatkina, N. V.; Luk'yanenko, E. V.; Sbitnev, A. G. Structure and Properties of a Grade 1420 Aluminum Alloy after Argon Ion Irradiation 2023 RUSSIAN METALLURGY, 2023 (6), pp. 709-715";Статья
10.1134/S0036029523060344;3;Ovchinnikov, Sbitnev, Polyakov;V. V., A. G., D. A.;1;Moscow Polytech Univ;1.0;JUN 2023;Effect of Fusion Welding on the Properties of 1915T Aluminum Alloy Joints;RUSSIAN METALLURGY;"Ovchinnikov, V. V.; Sbitnev, A. G.; Polyakov, D. A. Effect of Fusion Welding on the Properties of 1915T Aluminum Alloy Joints 2023 RUSSIAN METALLURGY, 2023 (6), pp. 736-742";Статья
10.1134/S003602952306006X;4;Silenskii;M. I.;1;Moscow Polytech Univ;0.25;JUN 2023;Microstructure, Alloying Elements, and Phase Distribution in ZhS6U Alloy Samples Sintered from the Powders Fabricated by Electroerosion Dispersion of Waste;RUSSIAN METALLURGY;"Ageev, E. V.; Ageeva, E. V.; Podanov, V. O.; Silenskii, M. I. Microstructure, Alloying Elements, and Phase Distribution in ZhS6U Alloy Samples Sintered from the Powders Fabricated by Electroerosion Dispersion of Waste 2023 RUSSIAN METALLURGY, 2023 (6), pp. 847-850";Статья
10.1134/S0036029523060319;4;Latypov, Latypova, Alsobkh;R. A., G. R., M.;1;Moscow Polytech Univ;0.75;JUN 2023;Formation of a Coating and Its Joint with the Base during the Reconditioning of Bronze Parts by Electrocontact Welding of Woven Metal Gauze;RUSSIAN METALLURGY;"Natalenko, V. S.; Latypov, R. A.; Latypova, G. R.; Alsobkh, M. Formation of a Coating and Its Joint with the Base during the Reconditioning of Bronze Parts by Electrocontact Welding of Woven Metal Gauze 2023 RUSSIAN METALLURGY, 2023 (6), pp. 855-859";Статья
10.3390/mi14112004;6;Kudryashov;Alexis;2;Moscow Polytech Univ, Russian Acad Sci;0.08;NOV 2023;Investigation of PZT Materials for Reliable Piezostack Deformable Mirror with Modular Design;MICROMACHINES;"Toporovsky, Vladimir; Samarkin, Vadim; Kudryashov, Alexis; Galaktionov, Ilya; Panich, Alexander; Malykhin, Anatoliy Investigation of PZT Materials for Reliable Piezostack Deformable Mirror with Modular Design 2023 MICROMACHINES, 14 (11), Статья № 2004";Статья
;4;Golik;V. I.;2;Moscow Polytech Univ, Vladikavkaz Sci Ctr;0.12;2023;ENVIRONMENTAL RISKS OF LIFE ACTIVITIES OF PEOPLE IN INDUSTRIAL CITIES;PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH;"Pazdnikova, N. P.; Konstantinova, M. V.; Golik, V. I.; Sarychev, V. I. ENVIRONMENTAL RISKS OF LIFE ACTIVITIES OF PEOPLE IN INDUSTRIAL CITIES 2023 PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH, 3, pp. 22-33";Статья
;2;Golik;V. I.;1;Moscow Polytech Univ;0.5;2023;WASTE-FREE TAILINGS DISPOSAL TECHNOLOGY ENRICHMENT OF DONBASS;PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH;"Golik, V. I.; Burdzieva, O. G. WASTE-FREE TAILINGS DISPOSAL TECHNOLOGY ENRICHMENT OF DONBASS 2023 PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH, 3, pp. 163-176";Статья
;2;Golik;V. I.;1;Moscow Polytech Univ;0.5;2023;PROSPECTS FOR THE INTEGRATION OF METHODS OF OIL EXTRACTION AND UNDERGROUND LEACHING OF METALS;PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH;"Golik, V. I.; Burdzieva, O. G. PROSPECTS FOR THE INTEGRATION OF METHODS OF OIL EXTRACTION AND UNDERGROUND LEACHING OF METALS 2023 PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH, 3, pp. 176-186";Статья
;4;Klyuev, Zaoui;R. V., Ch. E.;1;Moscow Polytech Univ;0.5;2023;POWER MANAGEMENT FOR A COPPER PRODUCTION PLANT;PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH;"Klyuev, R. V.; Bosikov, I. I.; Gavrina, O. A.; Zaoui, Ch. E. POWER MANAGEMENT FOR A COPPER PRODUCTION PLANT 2023 PROCEEDINGS OF THE TULA STATES UNIVERSITY-SCIENCES OF EARTH, 3, pp. 202-214";Статья
