N;Name;Work;Scopus;Wos
1;Абдуллин Тимур Ринатович;Информационная безопасность (Доцент, к.н.), 0.25;55530661500;JLE-2673-2023
2;Адылина Анна Петровна;Стандартизация, метрология и сертификация (Доцент, к.н.), 1;56973858400;AAB-9280-2022
3;Азаматова Гульназ Булатовна;Гуманитарные дисциплины (Профессор, д.н.), 1;57195682822;G-9842-2016
4;Акопян Торгом Кароевич;Сектор научной деятельности (Доцент, к.н.), 0.25;55809950100;L-7402-2016
5;Александров Алексей Владимирович;Технологии и оборудование машиностроения (Доцент, к.н.), 1;57351677700;ABE-3907-2021
6;Алексахина Юлия Владимировна;Менеджмент (Доцент, к.н.), 0.5;57192316603;C-1251-2018
7;Алексашина Ольга Вячеславовна;Стандартизация, метрология и сертификация (Доцент, к.н.), 0.25;57212380607;AAC-2647-2022
8;Аленин Илья Александрович;Иностранные языки (Старший преподаватель), 1;;AIE-5568-2022
9;Аленина Елена Эдуардовна;Менеджмент (Заведующий кафедрой, к.н.), 1;56682888300;AAG-8926-2020
10;Алпатова Марианна Валерьевна;Информатика и информационные технологии (Старший преподаватель), 1;57216154479;
11;Алтунина Юлия Олеговна;Реклама и связи с общественностью в медиаиндустрии (Заведующий кафедрой, к.н.), 1;58078588500;AAG-7558-2021
12;Алхассан Тиджани Форго;Экономика и организация (Старший преподаватель, к.н.), 1;57223141979;AAY-7567-2020
13;Аминов Илья Исакович;Гуманитарные дисциплины (Доцент, д.н.), 0.75;57220733909;AAD-9462-2022
14;Амиров Данис Фанисович;Информационная безопасность (Доцент, к.н.), 1;57193485431;
15;Ангелова Дарья Юрьевна;ХимБиотех (Ассистент), 0.15;. Би т;
16;Андреева Людмила Павловна;Оборудование и технологии сварочного производства (Доцент, к.н.), 1;7102725156;AAW-6575-2021
17;Анопченко Татьяна Юрьевна;Менеджмент (Профессор, д.н.), 0.5;56724323000;P-9624-2015
18;Антонова Ландыш Халяфовна;Математика (Доцент, к.н.), 0.5;7006415608;I-3881-2018
19;Антонян Акоп Ваганович;Передовая инженерная школа электротранспорта Московского Политеха (Доцент, к.н.), 0.35;57217148592;
20;Апелинский Дмитрий Викторович;Энергоустановки для транспорта и малой энергетики (Доцент, к.н.), 1;57209475391;ABX-3252-2022
21;Арзамасова Екатерина Львовна;Управление персоналом (Старший преподаватель), 1;57320663300;AGZ-3098-2022
22;Арсентьев Дмитрий Андреевич;Информатика и информационные технологии (Доцент, к.н.), 1;57226784037;M-4578-2015
23;Артамонова Инна Викторовна;ХимБиотех (Доцент, к.н.), 0.5;36833294200;C-2007-2017
24;Архангельский Александр Игоревич;Математика (Доцент, к.н.), 1;57216222284;AAH-4646-2020
25;Архангельский Вадим Юрьевич;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.25;42760917100;
26;Архипов Максим Викторович;Автоматика и управление (Доцент, к.н.), 1;57188648808;B-5226-2017
27;Афанасьева Елена Викторовна;Промышленная теплоэнергетика (Доцент, к.н.), 0.25;;AAE-8750-2020
28;Ашрафи Арифа;Инфокогнитивные технологии (Ассистент), 0.5;57221096741;IQT-0194-2023
29;Базалеева Ксения Олеговна;Материаловедение (Доцент, к.н.), 0.1;6506379564;AAH-9839-2019
30;Балясникова Ольга Вениаминовна;Инфокогнитивные технологии (Доцент, к.н.), 0.5;57203523645;
31;Банзула Юрий Борисович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.25;8594090000;
32;Баранова Елена Юрьевна;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 0.41;7005552794;AAG-9649-2020
33;Баринов Владимир Романович;Инфокогнитивные технологии (Преподаватель), 1;;CAF-8907-2022
34;Баринова Наталья Владимировна;Инфокогнитивные технологии (Преподаватель, к.н.), 0.5;;GVS-3934-2022
35;Бебенин Вячеслав Геннадьевич;Автоматика и управление (Профессор, д.н.), 0.5;57209459567;
36;Беззатеева Эвелина Гайковна;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.5;57210981861;ABE-1629-2020
