Author,WoS ID,WoS Article,Total Authors Count,Author Contribution,Workplaces Count
Доронин Федор Александрович,B-2266-2014,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,4,0.25,1
Доронин Федор Александрович,B-2266-2014,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates' Surface Structure for Additive Manufacturing,6,0.17,1
Доронин Федор Александрович,B-2266-2014,The synergistic effect of bulk-surface modification onto the wear resistance of the ultrahigh molecular weight polyethylene,5,0.1,2
Доронин Федор Александрович,B-2266-2014,Biostable Fluorine-Containing Coatings on the Surface of Polymers,6,0.17,1
Назаров Виктор Геннадьевич,B-2274-2014,Nonwoven Needle-Punched Materials with High Tensile Strength,3,0.33,1
Назаров Виктор Геннадьевич,B-2274-2014,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,4,0.25,1
Назаров Виктор Геннадьевич,B-2274-2014,Effect of Punch Density on Mechanical Properties of Needle-Punched Nonwoven Fabric Having High Surface Density,2,0.5,1
Назаров Виктор Геннадьевич,B-2274-2014,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates' Surface Structure for Additive Manufacturing,6,0.17,1
Назаров Виктор Геннадьевич,B-2274-2014,The synergistic effect of bulk-surface modification onto the wear resistance of the ultrahigh molecular weight polyethylene,5,0.2,1
Назаров Виктор Геннадьевич,B-2274-2014,Biostable Fluorine-Containing Coatings on the Surface of Polymers,6,0.17,1
Назаров Виктор Геннадьевич,B-2274-2014,MECHANICAL PROPERTIES OF COMPOSITE MATERIAL BASED ON AN OXYFLUORINATED FIBROUS FILLER,5,0.2,1
Назаров Виктор Геннадьевич,B-2274-2014,Mechanical Properties of Moistened Needle-Punched Nonwoven Fabric Based on Blend of Fibers with Various Linear Densities,5,0.2,1
Назаров Виктор Геннадьевич,B-2274-2014,Mechanical Properties of Needle-Punched Polymer Nonwoven Fabrics Under Constant Load,4,0.25,1
Назаров Виктор Геннадьевич,B-2274-2014,Compressibility of the composite material with fiber filler and nanodimensional polyurethane matrix for road and hydro engineering construction,3,0.33,1
Назаров Виктор Геннадьевич,B-2274-2014,Gradient non-woven fabrics with a modified surface nanolayer for water filtration in construction industry,5,0.2,1
Назаров Виктор Геннадьевич,B-2274-2014,Design and multilevel structuring of shape memory polymers for pleochroism control,5,0.2,1
Николаев Александр Африканович,AHB-3757-2022,Design and multilevel structuring of shape memory polymers for pleochroism control,5,0.2,1
Рытиков Георгий Олегович,J-7097-2014,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,4,0.25,1
Рытиков Георгий Олегович,J-7097-2014,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates' Surface Structure for Additive Manufacturing,6,0.17,1
Рытиков Георгий Олегович,J-7097-2014,The synergistic effect of bulk-surface modification onto the wear resistance of the ultrahigh molecular weight polyethylene,5,0.1,2
Рытиков Георгий Олегович,J-7097-2014,Biostable Fluorine-Containing Coatings on the Surface of Polymers,6,0.17,1
