Author,WoS ID,WoS Article,Total Authors Count,Author Contribution,Workplaces Count
Азаматова Гульназ Булатовна,G-9842-2016,Fatwas of Orenburg Muftis in the context of socio-cultural transformations in the Ural-Volga region (19th - early 20th century),4,0.25,1
Белоглазов Максим Валерьевич,HTQ-2543-2023,Using Fusion Circuit Training to Reduce Overweight (Obesity) Among High School Students,4,0.25,1
Вагабов Махач Мустафаевич,ABE-8346-2021,Incarnations of Vertragna as an integral part of significance of the decor of Kelermess axe,3,0.33,1
Вагабов Махач Мустафаевич,ABE-8346-2021,I.E. Zabelin as an Archaeologist-Practitioner: Look a Century Later br,3,0.33,1
Вагабов Махач Мустафаевич,ABE-8346-2021,Sulak military line and Kumyk cordon: history of construction and military-strategic significance,3,0.33,1
Вагабов Махач Мустафаевич,ABE-8346-2021,Archaeology in a Broad Sense Contains a Source of Knowledge of National Identity (I.E. Zabelin on the Tasks of Archaeology (based on Archival Materials)),4,0.25,1
Вагабов Махач Мустафаевич,ABE-8346-2021,The Concept of Teaching Archaeology by I.E. Zabelin,4,0.25,1
Вагабов Махач Мустафаевич,ABE-8346-2021,The city as a culture-forming concept of the frontier,3,0.33,1
Егорычева Элина Викторовна,W-1099-2017,A Study on the Burpee Exercise Influence on the Endurance Indicator and Attention in School Children,4,0.25,1
Лобанова Юлия Владимировна,T-1465-2017,ARTISTIC AND CRITICAL HERITAGE OF F.M. DOSTOEVSKY: BASED ON THE ARTICLES OF 60S-70S XIX CENTURY,7,0.14,1
Поздняков Максим Владимирович,GLS-3369-2022,Critical thinking: Its essence and presence in the educational programs of Russian universities,1,1.0,1
Скобелев Владимир Васильевич,AAG-9201-2020,DETERMINATION OF THE PROBABILITY PARAMETER FOR THE SYSTEM OF NEUTRAL K MESONS,1,1.0,1
Скобелев Владимир Васильевич,AAG-9201-2020,Analytical Solutions of the Algebraic Equations of the Theory of Spatial Transitions of Atoms. The Hydrogen-Like Atom,1,1.0,1
Щербин Дмитрий Владимирович,AHC-9927-2022,Using Fusion Circuit Training to Reduce Overweight (Obesity) Among High School Students,4,0.25,1
