Author,WoS ID,WoS Article,Total Authors Count,Author Contribution,Workplaces Count
Клюев Роман Владимирович,J-8000-2014,Forecasting planned electricity consumption for the united power system using machine learning,5,0.2,1
Клюев Роман Владимирович,J-8000-2014,POWER MANAGEMENT FOR A COPPER PRODUCTION PLANT,4,0.25,1
Клюев Роман Владимирович,J-8000-2014,ANALYSIS OF THE SPECIFIC POWER CONSUMPTION OF COPPER AND BARITE ORE MINING PROCESSES AT THE MINING AND PROCESSING COMPANY,4,0.25,1
Клюев Роман Владимирович,J-8000-2014,CALCULATION AND SELECTION OF RELAY PROTECTION AND AUTOMATION IN THE POWER SUPPLY SYSTEM OF MINING AND PROCESSING PLANTS,4,0.25,1
Клюев Роман Владимирович,J-8000-2014,ANALYSIS OF THE ENERGY CHARACTERISTICS OF THE GRINDING DEPARTMENT OF THE CONCENTRATION FACTORY,4,0.25,1
Клюев Роман Владимирович,J-8000-2014,Forecasting hourly electricity generation by a solar power plant using machine learning algorithms,4,0.25,1
Клюев Роман Владимирович,J-8000-2014,Efficiency Gains When Using Activated Mill Tailings in Underground Mining,6,0.17,1
Клюев Роман Владимирович,J-8000-2014,Mathematical Modeling and Multi-Criteria Optimization of Design Parameters for the Gyratory Crusher,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Tailings Utilization and Zinc Extraction Based on Mechanochemical Activation,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Modern Technologies Providing a Full Cycle of Geo-Resources Development,6,0.17,1
Клюев Роман Владимирович,J-8000-2014,Technology for Nonwaste Recovery of Tailings of the Mizur Mining and Processing Plant,5,0.2,1
Клюев Роман Владимирович,J-8000-2014,Prospects for Return of Valuable Components Lost in Tailings of Light Metals Ore Processing,5,0.2,1
Клюев Роман Владимирович,J-8000-2014,A Methodological Approach to the Simulation of a Ship's Electric Power System,9,0.11,1
Клюев Роман Владимирович,J-8000-2014,Reducing Oscillations in Suspension of Mine Monorail Track,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Morphological Features of Polycrystalline CdS1-xSex Films Obtained by Screen-Printing Method,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Study of Supercapacitors Built in the Start-Up System of the Main Diesel Locomotive,9,0.11,1
Клюев Роман Владимирович,J-8000-2014,Provision of Rational Parameters for the Turning Mode of Small-Sized Parts Made of the 29 NK Alloy and Beryllium Bronze for Subsequent Thermal Pulse Deburring,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits,7,0.14,1
Клюев Роман Владимирович,J-8000-2014,Reuse and Mechanochemical Processing of Ore Dressing Tailings Used for Extracting Pb and Zn,8,0.12,1
Клюев Роман Владимирович,J-8000-2014,Improvement of Hybrid Electrode Material Synthesis for Energy Accumulators Based on Carbon Nanotubes and Porous Structures,6,0.17,1
