Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Guo H., Moskovskikh D., Yudin S., Cheng Z., Zou W., Volodko S., Zhang C.","58210111300;55511296200;56323516600;57206928704;58614465600;57205224775;7405490089;","Annealing of a (Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2)C high-entropy ceramic up to 2100 °C: In-situ removal of oxide impurities and microstructural modification",2023,"Ceramics International","49","23",,"37872","37880",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172023451&doi=10.1016%2fj.ceramint.2023.09.115&partnerID=40&md5=4554f9a586f0c5fd1ea07f90e3a02ca0","NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China; National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Moscow Polytechnic University, 38, B. Semenovskaya St, Moscow, Russian Federation","Guo, H., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China; Moskovskikh, D., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Yudin, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, 38, B. Semenovskaya St, Moscow, Russian Federation; Cheng, Z., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China; Zou, W., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China; Volodko, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Zhang, C., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China",Article,Scopus,2-s2.0-85172023451
"Nurjamin A., Salazar-Espinoza D.-E., Saenko N., Bina E.","57214988301;57201734932;57094013500;58406045700;","Learner-oriented assessment matters: testing the effects of academic buoyancy, reflective thinking, and learner enjoyment in self-assessment and test-taking anxiety management of the EFL learners",2023,"Language Testing in Asia","13","1","30","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163640852&doi=10.1186%2fs40468-023-00247-z&partnerID=40&md5=d0489f7894034bf25a951cfbf5750af6","Indonesian Institute of Education, Garut, Indonesia; Universidad Nacional Daniel Alcides Carrión, Cerro de Pasco, Peru; Department of Humanitarian Disciplines, Faculty of Basic Competencies, Moscow Polytechnic University, Moscow, Russian Federation; Department of English Language and Literature, Hacettepe University, Hacettepe, Ankara, Turkey","Nurjamin, A., Indonesian Institute of Education, Garut, Indonesia; Salazar-Espinoza, D.-E., Universidad Nacional Daniel Alcides Carrión, Cerro de Pasco, Peru; Saenko, N., Department of Humanitarian Disciplines, Faculty of Basic Competencies, Moscow Polytechnic University, Moscow, Russian Federation; Bina, E., Department of English Language and Literature, Hacettepe University, Hacettepe, Ankara, Turkey",Article,Scopus,2-s2.0-85163640852
"Kazak A.V., Nikitin K.S., Marchenkova M.A., Savelyev M.S., Vasilevsky P.N., Yu. Gerasimenko A., Chausov D.N., Kholodkov I.V., Usol'tseva N.V., Yu. Tolbin A.","57209682509;57195554161;55782088500;56352413400;57202087173;57222370374;23983935000;6506409450;7003426537;58094185100;","Langmuir-Schaefer films based on cyclotriphosphazene-substituted phthalocyanines: Supramolecular organization, UV/Vis study, and laser-induced nonlinear absorption",2023,"Applied Surface Science","638",,"158077","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165501072&doi=10.1016%2fj.apsusc.2023.158077&partnerID=40&md5=906debe16f24004c5ca08009092ba816","Nanomaterials Research Institute, Ivanovo State University, Ermak St. 39, Ivanovo, 153025, Russian Federation; Moscow Polytechnic University, Bolshaya Semenovskaya St., 38, Moscow, 107023, Russian Federation; G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Akademicheskaya st., 1, Ivanovo, 153045, Russian Federation; Shubnikov Institute of Crystallography of Federal Scientific Research Centre “Crystallography and Photonics” of Russian Academy of Sciences, Leninskii Pr. 59, Moscow, 119333, Russian Federation; National Research Centre “Kurchatov Institute”, Academika Kurchatova Sq., 1, Moscow, 123182, Russian Federation; National Research University of Electronic Technology MIET, Shokin Sq., 124498, Zelenograd, Moscow, Russian Federation; I.M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya St., bld. 2-4, Moscow, 119991, Russian Federation; Institute of Physiologically Active Compounds at Federal Research Center of Problems of Chemical Physics and Medicinal Chemistry, Russian Academy of Sciences, Chernogolovka, 142432, Russian Federation; Prokhorov General Physics Institute, Russian Academy of Sciences, Vavilova St., 38, Moscow, 119991, Russian Federation; Moscow University for Industry and Finance “Synergy”, Leningrad Pr., 80, Moscow, 125190, Russian Federation; Institute of Macroheterocyclic Compounds, Ivanovo State University of Chemistry and Technology, Sheremetevsky Av. 7, Ivanovo, 153000, Russian Federation","Kazak, A.V., Nanomaterials Research Institute, Ivanovo State University, Ermak St. 39, Ivanovo, 153025, Russian Federation, Moscow Polytechnic University, Bolshaya Semenovskaya St., 38, Moscow, 107023, Russian Federation; Nikitin, K.S., G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Akademicheskaya st., 1, Ivanovo, 153045, Russian Federation; Marchenkova, M.A., Shubnikov Institute of Crystallography of Federal Scientific Research Centre “Crystallography and Photonics” of Russian Academy of Sciences, Leninskii Pr. 59, Moscow, 119333, Russian Federation, National Research Centre “Kurchatov Institute”, Academika Kurchatova Sq., 1, Moscow, 123182, Russian Federation; Savelyev, M.S., National Research University of Electronic Technology MIET, Shokin Sq., 124498, Zelenograd, Moscow, Russian Federation, I.M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya St., bld. 2-4, Moscow, 119991, Russian Federation, Institute of Physiologically Active Compounds at Federal Research Center of Problems of Chemical Physics and Medicinal Chemistry, Russian Academy of Sciences, Chernogolovka, 142432, Russian Federation; Vasilevsky, P.N., National Research University of Electronic Technology MIET, Shokin Sq., 124498, Zelenograd, Moscow, Russian Federation, Institute of Physiologically Active Compounds at Federal Research Center of Problems of Chemical Physics and Medicinal Chemistry, Russian Academy of Sciences, Chernogolovka, 142432, Russian Federation; Yu. Gerasimenko, A., National Research University of Electronic Technology MIET, Shokin Sq., 124498, Zelenograd, Moscow, Russian Federation, I.M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya St., bld. 2-4, Moscow, 119991, Russian Federation; Chausov, D.N., Prokhorov General Physics Institute, Russian Academy of Sciences, Vavilova St., 38, Moscow, 119991, Russian Federation, Moscow University for Industry and Finance “Synergy”, Leningrad Pr., 80, Moscow, 125190, Russian Federation; Kholodkov, I.V., Institute of Macroheterocyclic Compounds, Ivanovo State University of Chemistry and Technology, Sheremetevsky Av. 7, Ivanovo, 153000, Russian Federation; Usol'tseva, N.V., Nanomaterials Research Institute, Ivanovo State University, Ermak St. 39, Ivanovo, 153025, Russian Federation; Yu. Tolbin, A., Institute of Physiologically Active Compounds at Federal Research Center of Problems of Chemical Physics and Medicinal Chemistry, Russian Academy of Sciences, Chernogolovka, 142432, Russian Federation",Article,Scopus,2-s2.0-85165501072
"Kondratov A.P., Nikolaev A.A., Nazarov V.G., Vereshchagin V.Y., Volinsky A.A.","6603924314;57224628186;7202662388;57231845100;7003659885;","Design and multilevel structuring of shape memory polymers for pleochroism control",2023,"Journal of Applied Polymer Science","140","41","e54532","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167564511&doi=10.1002%2fapp.54532&partnerID=40&md5=ff1b991dcf2308bbef9b010adf00ee1c","Department of Incognitive Technologies, Moscow Polytechnic University, Moscow, Russian Federation; Department of Mechanical Engineering, University of South Florida, Tampa, FL, United States","Kondratov, A.P., Department of Incognitive Technologies, Moscow Polytechnic University, Moscow, Russian Federation; Nikolaev, A.A., Department of Incognitive Technologies, Moscow Polytechnic University, Moscow, Russian Federation; Nazarov, V.G., Department of Incognitive Technologies, Moscow Polytechnic University, Moscow, Russian Federation; Vereshchagin, V.Y., Department of Incognitive Technologies, Moscow Polytechnic University, Moscow, Russian Federation; Volinsky, A.A., Department of Mechanical Engineering, University of South Florida, Tampa, FL, United States",Article,Scopus,2-s2.0-85167564511
"Alsamhi S.H., Shvetsov A.V., Hawbani A., Shvetsova S.V., Kumar S., Zhao L.","56159911000;57192396079;56817023200;57192391644;55877297263;57190893959;","Survey on Federated Learning enabling indoor navigation for industry 4.0 in B5G",2023,"Future Generation Computer Systems","148",,,"250","265",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162959719&doi=10.1016%2fj.future.2023.06.001&partnerID=40&md5=cdbc799734609f65e2bd92e59d7b8506","Faculty of Engineering, IBB University, Ibb, Yemen; Department of Smart Technologies, Moscow Polytechnic University, Moscow, Russian Federation; North-Eastern Federal University, Yakutsk, Russian Federation; School of Computer and Technology, University of Science and Technology of China, Hefei, China; School of Computer, Khabarovsk, Russian Federation; Department of Computer Science and Engineering, IIIT-Naya Raipur, Chhattisgarh, India; School of Computer Science, Shenyang Aerospace University, Shenyang, China","Alsamhi, S.H., Faculty of Engineering, IBB University, Ibb, Yemen; Shvetsov, A.V., Department of Smart Technologies, Moscow Polytechnic University, Moscow, Russian Federation, North-Eastern Federal University, Yakutsk, Russian Federation; Hawbani, A., School of Computer and Technology, University of Science and Technology of China, Hefei, China; Shvetsova, S.V., School of Computer, Khabarovsk, Russian Federation; Kumar, S., Department of Computer Science and Engineering, IIIT-Naya Raipur, Chhattisgarh, India; Zhao, L., School of Computer Science, Shenyang Aerospace University, Shenyang, China",Article,Scopus,2-s2.0-85162959719
"Rogachev S.O., Zavodov A.V., Naumova E.A., Chernenok T.V., Lukina E.A., Zadorozhnyy M.Y.","35300576200;57194496820;7005017317;57255103300;56381648800;53165450200;","Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation",2023,"Materials Letters","349",,"134797","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163212149&doi=10.1016%2fj.matlet.2023.134797&partnerID=40&md5=ef2e41190e192bbd6d7a51a5e59dd4ee","NUST MISIS, Moscow, Russian Federation; All-Russian Scientific-Research Institute of Aviation Materials (VIAM), Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Rogachev, S.O., NUST MISIS, Moscow, Russian Federation; Zavodov, A.V., All-Russian Scientific-Research Institute of Aviation Materials (VIAM), Moscow, Russian Federation; Naumova, E.A., NUST MISIS, Moscow, Russian Federation; Chernenok, T.V., NUST MISIS, Moscow, Russian Federation; Lukina, E.A., All-Russian Scientific-Research Institute of Aviation Materials (VIAM), Moscow, Russian Federation; Zadorozhnyy, M.Y., NUST MISIS, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85163212149
"Selkin V.P., Kopylov S.V.","6505924693;7003447061;","Effect of Ionizing Radiation on Electrical Conductivity of a Tetrafluoroethylene–Ethylene Copolymer Containing Single-Wall Carbon Nanotubes",2023,"High Energy Chemistry","57","5",,"457","458",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173102484&doi=10.1134%2fS0018143923050120&partnerID=40&md5=68091ce89525953d63ed17814467bb1d","Belyi Institute of Mechanics of Metal–Polymer Systems, National Academy of Sciences of Belarus, Gomel, 246050, Belarus; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Selkin, V.P., Belyi Institute of Mechanics of Metal–Polymer Systems, National Academy of Sciences of Belarus, Gomel, 246050, Belarus; Kopylov, S.V., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85173102484
"Golovko V.A.","7005977675;","Is the Electron Magnetic Moment Unique?",2023,"Foundations of Physics","53","5","81","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169679592&doi=10.1007%2fs10701-023-00723-9&partnerID=40&md5=432e3000cfa7902b3bec70f614bce01a","Moscow Polytechnic University, Bolshaya Semenovskaya 38, Moscow, 107023, Russian Federation","Golovko, V.A., Moscow Polytechnic University, Bolshaya Semenovskaya 38, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85169679592
"Matsukevich I., Kulinich N., Kulbitskaya L., Kuznetsova T., Popkov V., Chebanenko M., Moskovskikh D., Kuskov K., Romanovski V.","55382219100;57221724332;56557047200;7202572156;56205822600;57214228458;55511296200;56105073800;57212142381;","Mesoporous nanocomposites based on CeO2 and MgO: preparation, structure and photocatalytic activity",2023,"Journal of Chemical Technology and Biotechnology","98","10",,"2497","2505",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165212790&doi=10.1002%2fjctb.7476&partnerID=40&md5=dc8832444a49f98e7c50bf493f72e7d7","Institute of General and Inorganic Chemistry of the National Academy of Sciences of Belarus, Minsk, Belarus; Department of Inorganic Materials, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Ioffe Institute, Saint Petersburg, Russian Federation; Center of Functional Nano-Ceramics, National University of Science and Technology MISIS, Moscow, Russian Federation; Research Laboratory of Scanning Probe Microscopy, Moscow Polytechnic University, Moscow, Russian Federation; Department of Materials Science and Engineering, University of Virginia, Charlottesville, VA, United States","Matsukevich, I., Institute of General and Inorganic Chemistry of the National Academy of Sciences of Belarus, Minsk, Belarus, Department of Inorganic Materials, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Kulinich, N., Institute of General and Inorganic Chemistry of the National Academy of Sciences of Belarus, Minsk, Belarus; Kulbitskaya, L., Institute of General and Inorganic Chemistry of the National Academy of Sciences of Belarus, Minsk, Belarus; Kuznetsova, T., Institute of General and Inorganic Chemistry of the National Academy of Sciences of Belarus, Minsk, Belarus; Popkov, V., Ioffe Institute, Saint Petersburg, Russian Federation; Chebanenko, M., Ioffe Institute, Saint Petersburg, Russian Federation; Moskovskikh, D., Center of Functional Nano-Ceramics, National University of Science and Technology MISIS, Moscow, Russian Federation, Research Laboratory of Scanning Probe Microscopy, Moscow Polytechnic University, Moscow, Russian Federation; Kuskov, K., Center of Functional Nano-Ceramics, National University of Science and Technology MISIS, Moscow, Russian Federation; Romanovski, V., Center of Functional Nano-Ceramics, National University of Science and Technology MISIS, Moscow, Russian Federation, Department of Materials Science and Engineering, University of Virginia, Charlottesville, VA, United States",Article,Scopus,2-s2.0-85165212790
"Dzhancharov T., Rozanova T., Pasternak S., Dmitrieva O., Romanova A., Lebedev K.","58402502600;56835636900;57324415200;57205199789;58634569400;58635249900;","INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA]",2023,"Journal of Law and Sustainable Development","11","7","e0972","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173472468&doi=10.55908%2fsdgs.v11i7.972&partnerID=40&md5=c69da2b20f389fb64c74ccbb7b94c9fd","Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Moscow, Russian Federation; Financial University under the Government of the Russian Federation, Moscow, Russian Federation; Saint-Petersburg Mining University, Saint-Petersburg, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation; Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Financial University under the Government of the Russian Federation, Moscow, Russian Federation","Dzhancharov, T., Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Moscow, Russian Federation; Rozanova, T., Financial University under the Government of the Russian Federation, Moscow, Russian Federation; Pasternak, S., Saint-Petersburg Mining University, Saint-Petersburg, Russian Federation; Dmitrieva, O., Moscow Polytechnic University, Moscow, Russian Federation; Romanova, A., Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Moscow, Russian Federation; Lebedev, K., Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Financial University under the Government of the Russian Federation, Moscow, Russian Federation",Article,Scopus,2-s2.0-85173472468
