Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Дедов Александр Васильевич,7005177190,Estimating the Fuel Permeability of Thermoplastic Polyurethane from the Saturated Vapor Pressure of Kerosene,5,0.2,1
Дедов Александр Васильевич,7005177190,Water Permeability of Composite Material with Fibrous Filler,4,0.25,1
Дедов Александр Васильевич,7005177190,Modified Needle-Punched Nonwoven Based on Blend of Polymer Fibers,4,0.25,1
Дедов Александр Васильевич,7005177190,Mechanical Propertes of Composite Based on Nowoven Fabric from Blend of Fibers with Different Diameters,5,0.2,1
Дедов Александр Васильевич,7005177190,Mechanical Properties of Composite Materials Based on Complex Fibrous Matrix,4,0.25,1
Дедов Александр Васильевич,7005177190,Effect of Punch Density on Mechanical Properties of Needle-Punched Nonwoven Fabric Having High Surface Density,2,0.5,1
Дедов Александр Васильевич,7005177190,Fuel Permeability of Thermoplastic Polyurethanes after Exposure to Salt Mist,5,0.2,1
Дедов Александр Васильевич,7005177190,Plasticizer Desorption from Coated PVC Films,2,0.5,1
Дедов Александр Васильевич,7005177190,Mechanical Properties of Needle-Punched Polymer Nonwoven Fabrics Under Constant Load,4,0.25,1
Дедов Александр Васильевич,7005177190,ANALYSIS OF THE EFFECT OF A CAPILLARY-POROUS STRUCTURE ON THE PERMEABILITY OF FLEXIBLE POLISHING MATERIALS; [АНАЛИЗ ВЛИЯНИЯ КАПИЛЛЯРНО-ПОРИСТОЙ СТРУКТУРЫ НА ПРОНИЦАЕМОСТЬ ГИБКИХ ПОЛИРОВАЛЬНЫХ МАТЕРИАЛОВ],4,0.25,1
Дедов Александр Васильевич,7005177190,Mechanical Properties of Moistened Needle-Punched Nonwoven Fabric Based on Blend of Fibers with Various Linear Densities,5,0.2,1
Дедов Александр Васильевич,7005177190,Gradient non-woven fabrics with a modified surface nanolayer for water filtration in construction industry,5,0.2,1
Дедов Александр Васильевич,7005177190,Compressibility of the composite material with fiber filleand nanodimensional polyurethane matrix for road and hydro engineering construction,3,0.33,1
Доронин Федор Александрович,57203091767,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,4,0.25,1
Доронин Федор Александрович,57203091767,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates’ Surface Structure for Additive Manufacturing,6,0.17,1
Доронин Федор Александрович,57203091767,Biostable Fluorine-Containing Coatings on the Surface of Polymers,6,0.17,1
Доронин Федор Александрович,57203091767,The synergistic effect of bulk-surface modification onto the wear resistance of the ultrahigh molecular weight polyethylene,5,0.2,1
Евдокимов Андрей Григорьевич,57203091325,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates’ Surface Structure for Additive Manufacturing,6,0.17,1
Евдокимов Андрей Григорьевич,57203091325,Biostable Fluorine-Containing Coatings on the Surface of Polymers,6,0.17,1
Евдокимов Андрей Григорьевич,57203091325,The synergistic effect of bulk-surface modification onto the wear resistance of the ultrahigh molecular weight polyethylene,5,0.2,1
Назаров Виктор Геннадьевич,7202662388,Water Permeability of Composite Material with Fibrous Filler,4,0.25,1
Назаров Виктор Геннадьевич,7202662388,Modified Needle-Punched Nonwoven Based on Blend of Polymer Fibers,4,0.25,1
Назаров Виктор Геннадьевич,7202662388,Mechanical Propertes of Composite Based on Nowoven Fabric from Blend of Fibers with Different Diameters,5,0.2,1
Назаров Виктор Геннадьевич,7202662388,Design and multilevel structuring of shape memory polymers for pleochroism control,5,0.2,1
Назаров Виктор Геннадьевич,7202662388,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,4,0.25,1
Назаров Виктор Геннадьевич,7202662388,Mechanical Properties of Composite Materials Based on Complex Fibrous Matrix,4,0.25,1
Назаров Виктор Геннадьевич,7202662388,Effect of Punch Density on Mechanical Properties of Needle-Punched Nonwoven Fabric Having High Surface Density,2,0.5,1
