Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Архангельский Александр Игоревич,57216222284,Nonlinear Strength Analysis of Intersecting Spherical and Cylindrical Composite Shells,4,0.25,1
Бойкова Галина Васильевна,58566326100,Pedestrian Flows Analysis to Create a Sustainable Development Concept for a Metropolitan Area,2,0.5,1
Бондарь Валентин Степанович,56338499900,High-Temperature Deformation of a Granulated Nickel Alloy,5,0.2,1
Бондарь Валентин Степанович,56338499900,SIMULATION OF THE ROLLING PROCESS; [МОДЕЛИРОВАНИЕ ПРОЦЕССА РАСКАТКИ],4,0.25,1
Бондарь Валентин Степанович,56338499900,ELASTIC-PLASTIC BEHAVIOR AND FRACTURE OF STRUCTURES WITH LOSS CONCENTRATORS UNDER CYCLIC LOADS,3,0.33,1
Бондарь Валентин Степанович,56338499900,Durability of High-Load Structures,2,0.5,1
Бондарь Валентин Степанович,56338499900,Monotonic and Cyclic Loading Processes,2,0.5,1
Бровкина Юлия Игоревна,57205456014,Prestressed Multilayer Structures from Polymer Composites for Vibration and Noise Control of Aircraft,5,0.2,1
Бровкина Юлия Игоревна,57205456014,Improved Belt Drives,3,0.33,1
Бровкина Юлия Игоревна,57205456014,Calculation-Graphical method of belt transmission operation parameters estimating,4,0.25,1
Бровкина Юлия Игоревна,57205456014,Parameterization of Body Parts of Vertical Gearboxes in Autodesk Inventor for Solving Research Problems,3,0.33,1
Головко Виталий Анатольевич,7005977675,Is the Electron Magnetic Moment Unique?,1,1.0,1
Головко Виталий Анатольевич,7005977675,Rotation of galaxies and dark matter,1,1.0,1
Дмитриева Людмила Александровна,57936850000,Calculation-Graphical method of belt transmission operation parameters estimating,4,0.25,1
Егорычева Элина Викторовна,56406380200,OUTDOOR GAMES – AN EFFECTIVE MEANS OF DEVELOPING PHYSICAL QUALITIES OF JUNIOR SCHOOLCHILDREN,4,0.25,1
Еникеев Ильдар Хасанович,6603661360,Calculation of Treatment of Industrial Emissions in Nozzle Separators,1,1.0,1
Коган Ефим Александрович,56911934600,Deformation of Flexible Parts in Robotic Assembly,3,0.33,1
Кокорина Юлия Георгиевна,57219245095,I.E. Zabelin as a Teacher of Russian Literature (Based on Archival Materials); [И.Е. Забелин как преподаватель российской словесности (по архивным материалам)],4,0.25,1
Кокорина Юлия Георгиевна,57219245095,The Concept of Teaching Archaeology by I.E. Zabelin; [Концепция преподавания археологии И.Е. Забелина],4,0.25,1
Кокорина Юлия Георгиевна,57219245095,“Archaeology in a Broad Sense Contains a Source of Knowledge of National Identity” (I.E. Zabelin on the Tasks of Archaeology (based on Archival Materials)); [«Археология в обширном смысле заключает в себе источник познания народной самобытности» (И.Е. Забелин о задачах археологии (по архивным материалам))],4,0.25,1
Кокорина Юлия Георгиевна,57219245095,I.E. Zabelin as an Archaeologist-Practitioner: Look a Century Later; [И.Е. Забелин как археолог-практик: взгляд столетие спустя],3,0.33,1
