Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Варламов Дмитрий Олегович,57208498910,ACTIVE AREA TEMPERATURE MEASUREMENT OF MEDIUM-POWER LEDS BY DYNAMICS CHANGES IN FORWARD VOLTAGE DURING CURRENT HEATING AND COOLING,5,0.2,1
Варламов Дмитрий Олегович,57208498910,Shock-wave Processes in the Electric Explosion of Thin-Film Systems on Silicon,5,0.2,1
Деревяшкин Игорь Владимирович,6504744976,Effect of structure and mining depth on hydraulic cutting velocity in rocks; [ВЛИЯНИЕ СТРУКТУРЫ ГОРНЫХ ПОРОД И ГЛУБИНЫ РАЗРАБОТКИ НА СКОРОСТЬ ИХ ГИДРАВЛИЧЕСКОГО РЕЗАНИЯ],4,0.25,1
Деревяшкин Игорь Владимирович,6504744976,Coal and rock fracturing by high-velocity water jets; [РАЗРУШЕНИЕ УГЛЯ И ГОРНЫХ ПОРОД ВЫСОКОСКОРОСТНЫМИ СТРУЯМИ ВОДЫ],4,0.25,1
Клюев Роман Владимирович,57194206632,Reuse and Mechanochemical Processing of Ore Dressing Tailings Used for Extracting Pb and Zn,8,0.12,1
Клюев Роман Владимирович,57194206632,Amplification and generation of electromagnetic radiation during the passage of acoustic waves through igneous rocks,3,0.33,1
Клюев Роман Владимирович,57194206632,A Methodological Approach to the Simulation of a Ship’s Electric Power System,9,0.11,1
Клюев Роман Владимирович,57194206632,Forecasting planned electricity consumption for the united power system using machine learning,5,0.2,1
Клюев Роман Владимирович,57194206632,Improvement of Hybrid Electrode Material Synthesis for Energy Accumulators Based on Carbon Nanotubes and Porous Structures,6,0.17,1
Клюев Роман Владимирович,57194206632,Efficiency Gains When Using Activated Mill Tailings in Underground Mining,6,0.17,1
Клюев Роман Владимирович,57194206632,Study of Supercapacitors Built in the Start-Up System of the Main Diesel Locomotive,8,0.12,1
Клюев Роман Владимирович,57194206632,Technology for Nonwaste Recovery of Tailings of the Mizur Mining and Processing Plant,5,0.2,1
Клюев Роман Владимирович,57194206632,Complex Assessment of X-ray Diffraction in Crystals with Face-Centered Silicon Carbide Lattice,7,0.14,1
Клюев Роман Владимирович,57194206632,Provision of Rational Parameters for the Turning Mode of Small-Sized Parts Made of the 29 NK Alloy and Beryllium Bronze for Subsequent Thermal Pulse Deburring,7,0.14,1
Клюев Роман Владимирович,57194206632,Morphological Features of Polycrystalline CdS1−xSex Films Obtained by Screen-Printing Method,7,0.14,1
Клюев Роман Владимирович,57194206632,Modern Technologies Providing a Full Cycle of Geo-Resources Development,6,0.17,1
Клюев Роман Владимирович,57194206632,Prospects for Return of Valuable Components Lost in Tailings of Light Metals Ore Processing,5,0.2,1
Клюев Роман Владимирович,57194206632,Reducing Oscillations in Suspension of Mine Monorail Track,7,0.14,1
Клюев Роман Владимирович,57194206632,Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits,7,0.14,1
Клюев Роман Владимирович,57194206632,Mathematical Modeling and Multi-Criteria Optimization of Design Parameters for the Gyratory Crusher,7,0.14,1
Клюев Роман Владимирович,57194206632,On the issue of monitoring crack formation in natural-technical systems during earth surface displacements; [К ВОПРОСУ МОНИТОРИНГА ТРЕЩИНООБРАЗОВАНИЯ В ПРИРОДНО-ТЕХНИЧЕСКИХ СИСТЕМАХ ПРИ СДВИЖЕНИИ ЗЕМНОЙ ПОВЕРХНОСТИ],5,0.2,1
Клюев Роман Владимирович,57194206632,Forecasting hourly electricity generation by a solar power plant using machine learning algorithms; [Прогнозирование почасовой выработки электроэнергии солнечной электростанцией с помощью алгоритмов машинного обучения],4,0.25,1
Клюев Роман Владимирович,57194206632,Analysis and evaluation of prospects for high-quality quartz resources in the North Caucasus,4,0.25,1
Клюев Роман Владимирович,57194206632,"Analysis of the carbon footprint created by mining enterprises; [АНАЛИЗ УГЛЕРОДНОГО СЛЕДА, СОЗДАВАЕМОГО ГОРНЫМИ ПРЕДПРИЯТИЯМИ]",5,0.2,1
Клюев Роман Владимирович,57194206632,Comprehensive assessment of formalized ventilation difficultly and technological processes in coal mines; [Комплексная оценка трудноформализуемых вентиляционно-технологических процессов на угольных шахтах],4,0.25,1
Клюев Роман Владимирович,57194206632,Estimation of multistage hydraulic fracturing parameters using 4D simulation,4,0.25,1
