Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Артамонова Инна Викторовна,36833294200,Features of Corrosive Breakdown of Pipe Steel in Gas Condensate,4,0.25,1
Баранова Елена Юрьевна,7005552794,Reduction of Energy Consumption for Suspension Separation Process Implementation in Hydrocyclones,3,0.33,1
Баранова Елена Юрьевна,7005552794,Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation,4,0.25,1
Буздалина Ирина Александровна,6504098746,Computer Simulation of the Hydrodynamics of a Centrifugal Cryogranulator,3,0.33,1
Голованов Иван Юрьевич,57221737343,Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation,4,0.25,1
Голованов Иван Юрьевич,57221737343,Determination of Physicomechanical Characteristics of Raschig Rings and Substantiation of Wall Thickness of Fluoroplastic Raschig Rings for Operation under Sulfuric Acid Production Conditions,2,0.5,1
Графкина Марина Владимировна,56447118400,Training of specialists to solve environmental problems in the system of higher technical education,2,0.5,1
Графкина Марина Владимировна,56447118400,Thermal disposal of waste oils; [Термическая утилизация отработанных масел],4,0.25,1
Графкина Марина Владимировна,56447118400,Reducing Occupational Risks in Industrial Processes: Analysis and Recommendations for Improving Safety in Production Equipment and Facilities,3,0.33,1
Графкина Марина Владимировна,56447118400,Soil pollution by heavy metals,3,0.33,1
Громовых Татьяна Ильинична,6506225279,Microstructure of Gel Films of Bacterial Cellulose Synthesized under Static Conditions of Cultivation of the Gluconacetobacter hansenii GH-1/2008 Strain on Nutrient Media with Different Carbon Sources,7,0.07,2
Ершова Вера Александровна,36771249600,Magnetic control of activated carbon sorbent particles as a key task in creating an effective technology for their after-sorption magnetic extraction,7,0.07,2
Иванов Сергей Сергеевич,57197019875,Features of Corrosive Breakdown of Pipe Steel in Gas Condensate,4,0.25,1
Калпина Нина Юльевна,57222359275,The System for Protecting Air Environment of the Welding Work Area Using Restorative Ventilation,2,0.5,1
Мошин Андрей Алексеевич,57223112617,STUDY OF HYDROGEL MATERIALS THERMOPHYSICAL PROPERTIES,6,0.08,2
Некрасов Дмитрий Анатольевич,17434923700,Unsteady-State Mass Transfer in Gels with Microorganisms,5,0.1,2
Некрасов Дмитрий Анатольевич,17434923700,STUDY OF HYDROGEL MATERIALS THERMOPHYSICAL PROPERTIES,6,0.17,1
Питрюк Анастасия Валерьевна,9038292900,Training of specialists to solve environmental problems in the system of higher technical education,2,0.5,1
Питрюк Анастасия Валерьевна,9038292900,Soil pollution by heavy metals,3,0.33,1
Свиридова Евгения Юрьевна,56909932200,Reducing Occupational Risks in Industrial Processes: Analysis and Recommendations for Improving Safety in Production Equipment and Facilities,3,0.33,1
Трутнев Николай Степанович,14020923000,Computer Simulation of the Hydrodynamics of a Centrifugal Cryogranulator,3,0.33,1
Угольникова Мария Андреевна,57188689978,Evaluating the Performance of Low-Temperature Liquid Separation Devices with Two-Stage Refrigeration and Pre-Cooling,3,0.33,1
Чернявская Варвара,57347478800,Evaluating the Performance of Low-Temperature Liquid Separation Devices with Two-Stage Refrigeration and Pre-Cooling,3,0.33,1
