Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Алексахина Юлия Владимировна,57192316603,Comprehensive Recovery of Metals in Tailings Utilization with Mechanochemical Activation,10,0.1,1
Аленина Елена Эдуардовна,56682888300,Comprehensive Recovery of Metals in Tailings Utilization with Mechanochemical Activation,10,0.1,1
Аленина Елена Эдуардовна,56682888300,Computer-aided Design System for the End Mill Made by Laser Ablation and Grinding,9,0.11,1
Аленина Елена Эдуардовна,56682888300,An Approach for Recognizing Surface Defects in Products with a Complex Helical Shape,9,0.11,1
Аленина Елена Эдуардовна,56682888300,Cyclicity of the Digital Economy Development and the Perspectives of Its Counter-Cyclical Management,3,0.33,1
Алтунина Юлия Олеговна,58078588500,Pedestrian Flows Analysis to Create a Sustainable Development Concept for a Metropolitan Area,2,0.5,1
Бирюков Владимир Александрович,57202906454,DEVELOPMENT OF COMPETENCE IN THE SPHERE OF INFORMATION SECURITY TO ACHIEVE SUSTAINABLE DEVELOPMENT; [DESENVOLVIMENTO DE COMPETÊNCIA NO ÂMBITO DA SEGURANÇA DA INFORMAÇÃO PARA ALCANÇAR O DESENVOLVIMENTO SUSTENTÁVEL]; [DESARROLLO DE COMPETENCIAS EN EL ÁMBITO DE LA SEGURIDAD DE LA INFORMACIÓN PARA ALCANZAR EL DESARROLLO SOSTENIBLE],5,0.2,1
Ватутина Лариса Алексеевна,57219183082,New Concept of Teaching English to Students from Non-English Speaking Countries,10,0.1,1
Ватутина Лариса Алексеевна,57219183082,Effects of the Development of Central Bank Digital Currencies on Financial Markets amid the Pandemic,10,0.1,1
Гридчина Александра Владимировна,57190413370,The Green Economy of the Future and the Prospects for Its Development Based on the Leading Digital Technologies,3,0.33,1
Дмитриева Ольга Владимировна,57205199789,INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE; [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA],6,0.17,1
Зюлина Вера Витальевна,58485528900,Cyclicity of the Digital Economy Development and the Perspectives of Its Counter-Cyclical Management,3,0.33,1
Игнатьева Ольга Валерьевна,57093936600,Innovative Development of Knowledge Economy Based on Smart Technologies to Support Decarbonization in the Interests of Climate Risk Management Training of Young Digital Workforce,5,0.2,1
Исаенко Александр Павлович,58134477500,Modeling of strategic management of business processes of production and entrepreneurial structures,4,0.25,1
Исаенко Александр Павлович,58134477500,"Designing a professional request of the regional farming community for information-analytical, consulting and research services of agricultural education",5,0.2,1
Исаенко Александр Павлович,58134477500,Climate agenda in the southern region of Russia: The view of the agrarian university students,5,0.2,1
Исаенко Александр Павлович,58134477500,Consumer request of the parent community for transport service for schoolchildren,5,0.2,1
Исаенко Александр Павлович,58134477500,Organizational conditions for successful professional activity (views of pedagogical community),5,0.2,1
Исаенко Александр Павлович,58134477500,Preservation of traditional values as the basis for responsible and safe behaviour of young people,5,0.2,1
Коротун Ольга Николаевна,58566084900,Simulation modelling as a tool for urban air pollution forecasting,2,0.5,1
Коротун Ольга Николаевна,58566084900,Designing a System of Training and Methodology Support for Training Construction Industry Specialists in the Conditions of Digital Economy,1,1.0,1
Куренная Виктория Витальевна,56658682800,Rural areas' factors of sustainable socioeconomic development: estimates of agricultural producers,6,0.17,1
Куренная Виктория Витальевна,56658682800,Regional Aspects of the Digital Divide and Its Overcoming in the Sustainable Development Goals,5,0.2,1
Ливсон Майя Владимировна,57202905965,Optimization of Independent Work in Foreign Language Learning: Experience With Using Moodle,9,0.11,1
