Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Акопян Торгом Кароевич,55809950100,Structure Evolution and Mechanical Properties of Sheet Al–2Cu–1.5Mn–1Mg–1Zn (wt.%) Alloy Designed for Al20Cu2Mn3 Disperoids,5,0.1,2
Акопян Торгом Кароевич,55809950100,"The Characterization of Coatings Formed on As-Cast Al, Al–Si, and Al–Ca Aluminum Substrates by Plasma Electrolytic Oxidation",6,0.08,2
Акопян Торгом Кароевич,55809950100,Description of the New Eutectic Al-Ca-Cu System in the Aluminum Corner,5,0.1,2
Акопян Торгом Кароевич,55809950100,EFFECT OF LASER WELDING ON THE STRUCTURE AND MECHANICAL PROPERTIES OF HOT-ROLLED Al – Zn – Mg – Ca ALLOY SHEETS,4,0.12,2
Акопян Торгом Кароевич,55809950100,Effect of Radial-Shear Rolling on the Structure and Hardening of an Al–8%Zn–3.3%Mg–0.8%Ca–1.1%Fe Alloy Manufactured by Electromagnetic Casting,6,0.08,2
Акопян Торгом Кароевич,55809950100,"The Effect of La on the Microstructure and Mechanical Properties of the (Al) + Al4(Ca,La) Wrought Alloys",6,0.08,2
Володько Сергей Сергеевич,57205224775,Annealing of a (Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2)C high-entropy ceramic up to 2100 °C: In-situ removal of oxide impurities and microstructural modification,7,0.0,0
Володько Сергей Сергеевич,57205224775,"Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides",11,0.0,0
Володько Сергей Сергеевич,57205224775,Mechanism and kinetics of high-temperature oxidation of medium- and high-entropy carbides in air,10,0.0,0
Володько Сергей Сергеевич,57205224775,Fabrication of Biomedical Ti-Zr-Nb by Reducing Metal Oxides with Calcium Hydride,11,0.0,0
Воронин Станислав Сергеевич,57170088800,Development of Digital Pressure Observer in Hydraulic Cylinders for Vertical Balancing of Rolling Stand Spindles,4,0.25,1
Воронин Станислав Сергеевич,57170088800,Assessment of Signal Delay in Digital Twins for Electromechanical and Hydraulic Systems,6,0.17,1
Воронин Станислав Сергеевич,57170088800,Matrix Model of Continuous Rolling Mill as Automatic Control Object,5,0.2,1
Воронин Станислав Сергеевич,57170088800,Developing and Adopting Dynamic Load Restriction Algorithm for Plate-Mill Stand,3,0.0,0
Гасияров Вадим Рашитович,56512224300,Method for Defining Parameters of Electromechanical System Model as Part of Digital Twin of Rolling Mill,7,0.14,1
Гасияров Вадим Рашитович,56512224300,Design of PID Controller for Liquid Level in Tanks Using Tia Portal and FACTORY I/O Programs,4,0.25,1
Гасияров Вадим Рашитович,56512224300,Overview of Promising Solutions in Subsurface Sounding Equipment,4,0.25,1
Гасияров Вадим Рашитович,56512224300,Fluxgate Sensor with Bifactor Excitation Mode,4,0.25,1
Гасияров Вадим Рашитович,56512224300,Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers,6,0.17,1
Гасияров Вадим Рашитович,56512224300,Impact of Service Life Duration on Electric Losses in Power Transformers: An Analytical Review,4,0.25,1
Гасияров Вадим Рашитович,56512224300,Substantiation of On-Line Monitoring Methods for Surge Arrestors of Closed 110 kV Switchgear,6,0.17,1
Гасияров Вадим Рашитович,56512224300,Development and Practical Implementation of Digital Observer for Elastic Torque of Rolling Mill Electromechanical System,6,0.17,1
Гасияров Вадим Рашитович,56512224300,Thermal Imaging Survey of High-Voltage Vacuum Circuit Breakers of Closed Switchgear,5,0.2,1
Гасияров Вадим Рашитович,56512224300,Adaptive Load Division Controller for Electric Drives of Roll Stand,6,0.17,1
Гасияров Вадим Рашитович,56512224300,Digital Observer of Elastic Torque of Rolling Stand Two-Mass System,5,0.2,1
Гасияров Вадим Рашитович,56512224300,Construction Smart System for Monitoring Technical Condition of Furnace Transformer Vacuum Circuit Breaker,6,0.17,1
Гасияров Вадим Рашитович,56512224300,Power Quality Improvement in the Grid via High-power AC Regenerative Electric Drives,4,0.25,1
Гасияров Вадим Рашитович,56512224300,Developing and Adopting Dynamic Load Restriction Algorithm for Plate-Mill Stand,3,0.33,1
Дорошенко Виталий Владимирович,57193013629,Phase Composition and Microstructure of Cast Al-6%Mg-2%Ca-2%Zn Alloy with Fe and Si Additions,5,0.2,1
Дорошенко Виталий Владимирович,57193013629,The Structure and Mechanical Properties of Rolled Sheets of the Multicomponent Al–2.5Ca–2.5Mg Alloy Doped with Scandium and Zirconium,5,0.1,2
Дорошенко Виталий Владимирович,57193013629,COMPARATIVE ANALYSIS OF SPECIFIC ELECTRICAL RESISTIVITY OF SHEETS OF Al – 1.5% Mn AND Al – 1.5% Mn – 0.5% Ca ALLOYS,4,0.0,0
Дорошенко Виталий Владимирович,57193013629,EFFECT OF IRON IMPURITY ON THE STRUCTURE AND PHASE COMPOSITION OF Al – 6 % Mg – 2 % Ca – 2 % Zn ALLOY,3,0.0,0
Задорожный Михаил Юрьевич,53165450200,Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation,6,0.08,2
Задорожный Михаил Юрьевич,53165450200,Influence of Overheating on High-Cycle Fatigue Characteristics of the Base Metal and Weld Metal of Low-Carbon Steel Welded Joints,8,0.06,2
Задорожный Михаил Юрьевич,53165450200,Thermochemical Analysis of Hydrogenation of Pd-Containing Composite Based on TiZrVNbTa High-Entropy Alloy,9,0.06,2
Задорожный Михаил Юрьевич,53165450200,Internal friction in AA5051 alloy subjected to compression with torsion,5,0.1,2
Задорожный Михаил Юрьевич,53165450200,Promising Agromaterials Based on Biodegradable Polymers: Polylactide and Poly-3-Hydroxybutyrate,6,0.08,2
Задорожный Михаил Юрьевич,53165450200,Effect of Fe-Cr Coating on the Fe-Ga Alloy Functional Properties,9,0.06,2
Кошмин Александр Николаевич,57201582427,Optimization of Flat-Rolling Parameters for Thermally Stable Alloy of Al-Cu-Mn System with Micro Additions of Si and Zr,5,0.1,2
Кошмин Александр Николаевич,57201582427,Post-processing influence on additively produced Ti–6Al–4V alloy structure and mechanical properties,4,0.12,2
Кошмин Александр Николаевич,57201582427,"The Effect of La on the Microstructure and Mechanical Properties of the (Al) + Al4(Ca,La) Wrought Alloys",6,0.0,0
Маклаков Александр Сергеевич,56511556300,Design of PID Controller for Liquid Level in Tanks Using Tia Portal and FACTORY I/O Programs,4,0.25,1
Маклаков Александр Сергеевич,56511556300,Study of Behavior of Voltage and Current Spectra of Three-Level Neutral Point Clamped Converter at Selected Harmonic Elimination Programmed Pulse Pattern Pulse-Width Modulation,2,0.5,1
Маклаков Александр Сергеевич,56511556300,Control over Grid Reactive Power by Using a Powerful Regenerative Controlled-Speed Synchronous Motor Drive,3,0.33,1
Маклаков Александр Сергеевич,56511556300,Studying Non-Eliminated Harmonics in the Current Spectrum of a Three-Level Converter with Programmed PWM,2,0.0,0
Маклаков Александр Сергеевич,56511556300,Studying the Behavior of 2L Voltage Waveforms Based on Selective Harmonic Elimination PWM,2,0.0,0
Маклаков Александр Сергеевич,56511556300,Reactive Power Compensation based on Active Front-End Rectifiers,2,0.0,0
Маклаков Александр Сергеевич,56511556300,Changing Preprogrammed Selective Harmonic Eliminated PWM for Three-Level NPC AFE Rectifier,4,0.0,0
Маклаков Александр Сергеевич,56511556300,Power Quality Improvement in the Grid via High-power AC Regenerative Electric Drives,4,0.0,0
